step,loss,spectral_loss,spacing_loss,smoothness_loss,curvature_loss,tv_loss,amplitude_loss,frequency_loss,prime_loss
50,0.7002216577529907,0.07542374730110168,1.2495098114013672,2.431475331832189e-05,3.86854246414714e-08,0.003527035703882575,0.025137033313512802,1.6635061911074445e-05,0.0
51,0.7000665068626404,0.0754186287522316,1.2492064237594604,2.5537212422932498e-05,4.064373371193142e-08,0.003622015006840229,0.026308665052056313,1.757052268658299e-05,0.0
52,0.70000821352005,0.07541370391845703,1.2490962743759155,2.679530552995857e-05,4.2662176014118813e-08,0.003717949381098151,0.027509070932865143,1.8529453882365488e-05,0.0
53,0.6999281048774719,0.07540775090456009,1.2489445209503174,2.8089161787647754e-05,4.474121695352551e-08,0.003814650233834982,0.028738712891936302,1.9512059225235134e-05,0.0
54,0.6998564004898071,0.07540225237607956,1.2488086223602295,2.9418341000564396e-05,4.6880710868890674e-08,0.003912343643605709,0.029996398836374283,2.0520086764008738e-05,0.0
55,0.6998241543769836,0.07539790123701096,1.2487492561340332,3.078221925534308e-05,4.9079456942990873e-08,0.004010810516774654,0.03128195181488991,2.155162837880198e-05,0.0
56,0.6997893452644348,0.07539314031600952,1.2486858367919922,3.208672205801122e-05,5.1176787252416034e-08,0.004100325517356396,0.03249446302652359,2.2665000869892538e-05,0.0
57,0.6997928023338318,0.07538840919733047,1.2486989498138428,3.3336789783788845e-05,5.3182180437261195e-08,0.004182172939181328,0.033639438450336456,2.383446553722024e-05,0.0
58,0.6997842192649841,0.07538416236639023,1.2486873865127563,3.453715908108279e-05,5.5103907214970604e-08,0.004257421009242535,0.03472309187054634,2.504270560166333e-05,0.0
59,0.6997591257095337,0.07538111507892609,1.248640537261963,3.569862019503489e-05,5.696356808471137e-08,0.004327347502112389,0.0357537679374218,2.6313860871596262e-05,0.0
60,0.6997340321540833,0.07537596672773361,1.2485980987548828,3.682562964968383e-05,5.876922060110701e-08,0.0043928250670433044,0.03673749789595604,2.7619858883554116e-05,0.0
61,0.6997166872024536,0.07537291198968887,1.2485668659210205,3.792349525610916e-05,6.052992773675214e-08,0.004454454407095909,0.03768046200275421,2.8957931135664694e-05,0.0
62,0.6996899247169495,0.0753689706325531,1.248518705368042,3.8995938666630536e-05,6.225194937314882e-08,0.004512855317443609,0.03858784958720207,3.031400774489157e-05,0.0
63,0.6996864080429077,0.07536636292934418,1.2485146522521973,4.004700531368144e-05,6.394206053528251e-08,0.004568690899759531,0.03946465626358986,3.16832956741564e-05,0.0
64,0.6996753215789795,0.07536361366510391,1.2484956979751587,4.107305721845478e-05,6.559014309459599e-08,0.004621976986527443,0.040312331169843674,3.303353150840849e-05,0.0
65,0.6996637582778931,0.07535959035158157,1.2484785318374634,4.208198151900433e-05,6.721155898503639e-08,0.004673240706324577,0.04113684967160225,3.438217390794307e-05,0.0
66,0.6996785402297974,0.07535749673843384,1.2485101222991943,4.3075877329101786e-05,6.880885194959774e-08,0.004723140969872475,0.04194159805774689,3.5721317544812337e-05,0.0
67,0.6996507048606873,0.07535354048013687,1.248460292816162,4.4056072511011735e-05,7.038433835759861e-08,0.004772068001329899,0.04272925481200218,3.7040721508674324e-05,0.0
68,0.6996577382087708,0.07535106688737869,1.2484772205352783,4.5024469727650285e-05,7.194012141553685e-08,0.004820392932742834,0.04350290074944496,3.833710798062384e-05,0.0
69,0.6996482014656067,0.07534739375114441,1.2484633922576904,4.598195664584637e-05,7.347608743657474e-08,0.004869383294135332,0.04426441341638565,3.961360562243499e-05,0.0
70,0.6996278762817383,0.07534562796354294,1.2484242916107178,4.6930079406592995e-05,7.499441068148371e-08,0.00491802953183651,0.04501615837216377,4.086747867404483e-05,0.0
71,0.6996273398399353,0.07534159719944,1.248429298400879,4.787354919244535e-05,7.650357503052874e-08,0.004966537933796644,0.04576365649700165,4.2095784010598436e-05,0.0
72,0.6996678113937378,0.07534005492925644,1.2485114336013794,4.881437052972615e-05,7.8006465287217e-08,0.00501420209184289,0.04650908336043358,4.3301140976836905e-05,0.0
73,0.6996418237686157,0.07533714175224304,1.2484632730484009,4.975861884304322e-05,7.951465619271403e-08,0.00506137078627944,0.04725636914372444,4.449956031749025e-05,0.0
74,0.6996582746505737,0.07533445954322815,1.2484996318817139,5.0706959882518277e-05,8.10296114650555e-08,0.005107847973704338,0.04800450801849365,4.5683395001105964e-05,0.0
75,0.6995814442634583,0.07533035427331924,1.24835205078125,5.166201663087122e-05,8.255648964450302e-08,0.0051538944244384766,0.04875511676073074,4.685937165049836e-05,0.0
76,0.6995378732681274,0.07532723993062973,1.2482692003250122,5.262361082714051e-05,8.409499230310757e-08,0.005199717357754707,0.04950828105211258,4.8019501264207065e-05,0.0
77,0.6995209455490112,0.0753249004483223,1.2482380867004395,5.359342321753502e-05,8.564709474967458e-08,0.005245231557637453,0.05026587098836899,4.916659599984996e-05,0.0
78,0.6994979977607727,0.0753224641084671,1.2481950521469116,5.4571159125771374e-05,8.721180222437397e-08,0.00529040303081274,0.051028359681367874,5.0296352128498256e-05,0.0
79,0.6995015740394592,0.07531946152448654,1.2482061386108398,5.555762254516594e-05,8.87901947521641e-08,0.005335312336683273,0.05179721117019653,5.141069777891971e-05,0.0
80,0.699493408203125,0.07531651854515076,1.2481937408447266,5.656199573422782e-05,9.04018406799878e-08,0.005380483344197273,0.052577417343854904,5.254352799966e-05,0.0
81,0.6994760632514954,0.07531369477510452,1.2481626272201538,5.75848353037145e-05,9.20473723908799e-08,0.005426038522273302,0.053369831293821335,5.369332211557776e-05,0.0
82,0.699463427066803,0.07531238347291946,1.2481378316879272,5.8625690144253895e-05,9.372470799462462e-08,0.005471809301525354,0.05417527258396149,5.4859428928466514e-05,0.0
83,0.6994496583938599,0.07530739158391953,1.2481181621551514,5.96757308812812e-05,9.541341228214151e-08,0.005517428275197744,0.05499009042978287,5.600562508334406e-05,0.0
84,0.6994120478630066,0.07530410587787628,1.2480474710464478,6.073965778341517e-05,9.712286441754259e-08,0.005562992300838232,0.05581715330481529,5.7151202781824395e-05,0.0
85,0.6994279026985168,0.07530155777931213,1.2480820417404175,6.181751086842269e-05,9.885333440706745e-08,0.005608780775219202,0.05665674805641174,5.82931206736248e-05,0.0
86,0.6993739604949951,0.07529816776514053,1.247978687286377,6.29110072623007e-05,1.0060642097187156e-07,0.005654625594615936,0.05751100182533264,5.942254574620165e-05,0.0
87,0.6993207335472107,0.07529409229755402,1.2478783130645752,6.401884456863627e-05,1.0237984326977312e-07,0.005700473207980394,0.05837934836745262,6.0542533901752904e-05,0.0
88,0.6992505192756653,0.07529136538505554,1.2477411031723022,6.513968401122838e-05,1.0417061702128194e-07,0.005746354814618826,0.05926194414496422,6.164549995446578e-05,0.0
89,0.6992594003677368,0.07528838515281677,1.2477624416351318,6.627236143685877e-05,1.0597615585083986e-07,0.005793197546154261,0.060157958418130875,6.272972677834332e-05,0.0
90,0.6992676258087158,0.07528527081012726,1.247782826423645,6.741789547959343e-05,1.0779924508597105e-07,0.0058410572819411755,0.061068013310432434,6.379256956279278e-05,0.0
91,0.6992583274841309,0.0752812922000885,1.2477697134017944,6.857445987407118e-05,1.0963641017269765e-07,0.005889562889933586,0.06199086084961891,6.482872413471341e-05,0.0
92,0.6992616653442383,0.07527773082256317,1.2477811574935913,6.97441355441697e-05,1.114911967192711e-07,0.00593856256455183,0.06292824447154999,6.584761285921559e-05,0.0
93,0.6992977261543274,0.07527357339859009,1.247859239578247,7.092624582583085e-05,1.1336257443872455e-07,0.005988219752907753,0.06387974321842194,6.685155676677823e-05,0.0
94,0.6992600560188293,0.07526875287294388,1.247791051864624,7.212714990600944e-05,1.1526852006227273e-07,0.006038539111614227,0.06483614444732666,6.784174911445007e-05,0.0
95,0.6992776393890381,0.0752653032541275,1.2478307485580444,7.334644760703668e-05,1.1720847936658174e-07,0.006089511327445507,0.06579834222793579,6.882468005642295e-05,0.0
96,0.699256956577301,0.07526348531246185,1.2477904558181763,7.458282198058441e-05,1.1917973807840099e-07,0.006141026969999075,0.06676594913005829,6.979637691983953e-05,0.0
97,0.6993005871772766,0.07525879144668579,1.2478845119476318,7.58347159717232e-05,1.2117726555516128e-07,0.006193188950419426,0.06774111092090607,7.075208850437775e-05,0.0
98,0.6993554830551147,0.07525590062141418,1.2479976415634155,7.710486534051597e-05,1.2320568032464507e-07,0.006245903670787811,0.06872572004795074,7.170667231548578e-05,0.0
99,0.6993635296821594,0.0752541720867157,1.2480148077011108,7.839307363610715e-05,1.2526407999757794e-07,0.006299240980297327,0.06972166150808334,7.266165630426258e-05,0.0
100,0.6992349028587341,0.0752500519156456,1.2477631568908691,7.969894795678556e-05,1.2735142718156567e-07,0.006353131495416164,0.07072998583316803,7.3611518018879e-05,0.0
101,0.6992383003234863,0.07524644583463669,1.247774362564087,8.102205902105197e-05,1.2946536287472554e-07,0.006407678592950106,0.0717523917555809,7.455789454979822e-05,0.0
102,0.6992324590682983,0.0752430111169815,1.2477670907974243,8.236110443249345e-05,1.3160291700842208e-07,0.006462611258029938,0.07278885692358017,7.549600559286773e-05,0.0
103,0.699205756187439,0.07524079084396362,1.2477153539657593,8.371510921278968e-05,1.337625974429102e-07,0.006517917383462191,0.07383929938077927,7.641752017661929e-05,0.0
104,0.6992108821868896,0.07523676007986069,1.24773108959198,8.508326573064551e-05,1.359412493684431e-07,0.006573844235390425,0.0749041959643364,7.732597441645339e-05,0.0
105,0.699199914932251,0.07523205131292343,1.247715711593628,8.64639223436825e-05,1.3813688326536067e-07,0.006630122661590576,0.07598242908716202,7.819842721801251e-05,0.0
106,0.699209988117218,0.07522878050804138,1.247739553451538,8.785780664766207e-05,1.4035110496024572e-07,0.006686832290142775,0.07707493007183075,7.904968515504152e-05,0.0
107,0.6991971135139465,0.07522442936897278,1.2477197647094727,8.92646421561949e-05,1.425836728685681e-07,0.0067439330741763115,0.07818097621202469,7.987456046976149e-05,0.0
108,0.6991860866546631,0.07522096484899521,1.24770188331604,9.068021608982235e-05,1.4482959898032277e-07,0.006801559589803219,0.0792946070432663,8.066107693593949e-05,0.0
109,0.6991512179374695,0.07521701604127884,1.2476372718811035,9.210565622197464e-05,1.4709286233483e-07,0.006859543267637491,0.08041531592607498,8.141328726196662e-05,0.0
110,0.6991678476333618,0.07521378993988037,1.2476739883422852,9.354237408842891e-05,1.4937525349978387e-07,0.006917967461049557,0.08154367655515671,8.213851106120273e-05,0.0
111,0.6990999579429626,0.07521165162324905,1.2475396394729614,9.499237057752907e-05,1.5168211575655732e-07,0.006977082695811987,0.08268050104379654,8.282937778858468e-05,0.0
112,0.6991496682167053,0.07520829141139984,1.2476428747177124,9.645665704738349e-05,1.540159217938708e-07,0.0070369369350373745,0.08382564783096313,8.350228745257482e-05,0.0
113,0.6991172432899475,0.07520353049039841,1.247584581375122,9.793674689717591e-05,1.5637978378890693e-07,0.007097313646227121,0.08497947454452515,8.415454067289829e-05,0.0
114,0.6991119980812073,0.07520008087158203,1.2475779056549072,9.94357542367652e-05,1.587798550417574e-07,0.007158614229410887,0.08614479750394821,8.478692325297743e-05,0.0
115,0.6990910768508911,0.07519721984863281,1.2475388050079346,0.00010095570178236812,1.6122105250815366e-07,0.007220687344670296,0.08732352405786514,8.540858107153326e-05,0.0
116,0.6990721821784973,0.07519176602363586,1.2475088834762573,0.00010249941988149658,1.6370702837775752e-07,0.007283570244908333,0.08851824700832367,8.602287562098354e-05,0.0
117,0.6990547180175781,0.07518867403268814,1.2474771738052368,0.00010406938963569701,1.662438648963871e-07,0.007349247112870216,0.08973140269517899,8.66291084093973e-05,0.0
118,0.6990319490432739,0.07518431544303894,1.2474370002746582,0.0001056681721820496,1.688356974227645e-07,0.007417638786137104,0.09096480160951614,8.723438804736361e-05,0.0
119,0.6990368366241455,0.07518082112073898,1.247450590133667,0.00010730385838542134,1.7149262987459224e-07,0.007488237228244543,0.09222831577062607,8.785652607912198e-05,0.0
120,0.6990283727645874,0.07517645508050919,1.2474390268325806,0.00010897806350840256,1.7421747600110393e-07,0.007561303675174713,0.09352248162031174,8.849048026604578e-05,0.0
121,0.6989911794662476,0.07517174631357193,1.2473704814910889,0.00011069291940657422,1.770152096014499e-07,0.007636483293026686,0.0948488786816597,8.914115460356697e-05,0.0
122,0.6989821791648865,0.07516645640134811,1.2473596334457397,0.00011245018686167896,1.7988902811794105e-07,0.007713578641414642,0.09620817005634308,8.980455459095538e-05,0.0
123,0.6989883780479431,0.075161874294281,1.247377634048462,0.00011425042612245306,1.8284009684066405e-07,0.007792785298079252,0.0976000502705574,9.047539788298309e-05,0.0
124,0.698968768119812,0.0751575157046318,1.2473434209823608,0.00011609573994064704,1.8587233796552027e-07,0.007874036207795143,0.09902525693178177,9.115300781559199e-05,0.0
125,0.6989619135856628,0.07515294849872589,1.2473349571228027,0.00011798869672929868,1.8899280007644848e-07,0.007957492023706436,0.10048434138298035,9.183751535601914e-05,0.0
126,0.6989282369613647,0.07514893263578415,1.2472717761993408,0.0001199320176965557,1.9220603064695752e-07,0.008043142966926098,0.1019781306385994,9.252760355593637e-05,0.0
127,0.6988740563392639,0.07514364272356033,1.247170090675354,0.00012192814028821886,1.9551683294594113e-07,0.008131301961839199,0.1035078912973404,9.322845289716497e-05,0.0
128,0.6988484263420105,0.0751381516456604,1.247126579284668,0.00012334062193986028,1.976295465055955e-07,0.008191459812223911,0.10475704073905945,9.365098958369344e-05,0.0
129,0.6988329887390137,0.07513391226530075,1.247101068496704,0.0001248029147973284,1.9981757759524044e-07,0.008254144340753555,0.1060447096824646,9.411086648469791e-05,0.0
130,0.6988176107406616,0.07512905448675156,1.2470767498016357,0.00012631462595891207,2.020804288349609e-07,0.00831908080726862,0.10737042129039764,9.460365254199132e-05,0.0
131,0.6987526416778564,0.07512546330690384,1.246950626373291,0.0001278754061786458,2.044180718030475e-07,0.008386306464672089,0.10873376578092575,9.513418626738712e-05,0.0
132,0.698817789554596,0.07512057572603226,1.247087001800537,0.00012948534276802093,2.068317286330057e-07,0.00845578033477068,0.11013465374708176,9.569467511028051e-05,0.0
133,0.6988351345062256,0.07511521130800247,1.2471288442611694,0.00013113634486217052,2.0931183541961218e-07,0.008526893332600594,0.11156337708234787,9.625927486922592e-05,0.0
134,0.6988004446029663,0.07511001825332642,1.2470662593841553,0.0001328311045654118,2.118642328241549e-07,0.008599772118031979,0.11302093416452408,9.683741518529132e-05,0.0
135,0.6987406015396118,0.07510539889335632,1.2469518184661865,0.00013457123714033514,2.144923314517655e-07,0.008674492128193378,0.1145082637667656,9.743360715219751e-05,0.0
136,0.6987769603729248,0.07509972900152206,1.2470321655273438,0.00013635671348311007,2.1719547760312707e-07,0.008750829845666885,0.11602567881345749,9.804371802601963e-05,0.0
137,0.6987640857696533,0.07509412616491318,1.2470136880874634,0.00013818842126056552,2.1997742294388445e-07,0.008828683756291866,0.11757384240627289,9.866312757367268e-05,0.0
138,0.6987716555595398,0.07508867979049683,1.2470358610153198,0.00014006946003064513,2.2284312706233322e-07,0.008908395655453205,0.11915384978055954,9.929527732310817e-05,0.0
139,0.6987354755401611,0.07508431375026703,1.2469685077667236,0.00014164761523716152,2.2513555109071604e-07,0.008975435979664326,0.12058071047067642,9.956199210137129e-05,0.0
140,0.6987355947494507,0.07507800310850143,1.246977686882019,0.00014328803808894008,2.2752912798296165e-07,0.00904496107250452,0.1220487579703331,9.987321391236037e-05,0.0
141,0.698683500289917,0.07507386803627014,1.2468781471252441,0.00014498790551442653,2.3001993554316869e-07,0.009116876870393753,0.12355604767799377,0.00010023212962551042,0.0
142,0.6986417770385742,0.07506902515888214,1.246800422668457,0.00014674605336040258,2.326054158174884e-07,0.009191516786813736,0.12510187923908234,0.00010063246008940041,0.0
143,0.6986206769943237,0.07506322860717773,1.2467659711837769,0.00014856182679068297,2.3528500037173217e-07,0.009268117137253284,0.12668582797050476,0.00010106831905432045,0.0
144,0.6986082792282104,0.0750589445233345,1.2467455863952637,0.00015043478924781084,2.380589592121396e-07,0.009347225539386272,0.12830716371536255,0.00010154274059459567,0.0
145,0.6985910534858704,0.0750531405210495,1.2467185258865356,0.0001523648388683796,2.409270223324711e-07,0.00942903757095337,0.1299658566713333,0.00010205304715782404,0.0
146,0.6985769271850586,0.07504821568727493,1.246695876121521,0.0001543516991659999,2.4388916131101723e-07,0.009514781646430492,0.13166192173957825,0.00010258734255330637,0.0
147,0.6985400319099426,0.07504389435052872,1.2466262578964233,0.00015639670891687274,2.469484456923965e-07,0.009602534584701061,0.13339534401893616,0.00010315934923710302,0.0
148,0.698508083820343,0.07503975927829742,1.2465661764144897,0.00015849995543248951,2.501043638858391e-07,0.009691957384347916,0.13516847789287567,0.00010376540012657642,0.0
149,0.6984870433807373,0.07503502815961838,1.24652898311615,0.00016066161333583295,2.53356972734764e-07,0.009783054701983929,0.1369815617799759,0.0001044082164298743,0.0
150,0.698440670967102,0.07502838224172592,1.2464450597763062,0.00016288245387841016,2.5670800596344634e-07,0.009875248186290264,0.13883492350578308,0.00010507662955205888,0.0
151,0.6984235048294067,0.07502282410860062,1.2464169263839722,0.00016516454343218356,2.6016192578026676e-07,0.00996857788413763,0.14073042571544647,0.00010577773355180398,0.0
152,0.6983931064605713,0.0750172883272171,1.246362328529358,0.0001675091771176085,2.6372060801804764e-07,0.01006347592920065,0.14266860485076904,0.0001065002943505533,0.0
153,0.6983587741851807,0.07501141726970673,1.2463003396987915,0.0001699167041806504,2.673851611234568e-07,0.010159878991544247,0.1446494311094284,0.0001072521336027421,0.0
154,0.6983069777488708,0.07500423491001129,1.2462061643600464,0.0001723881287034601,2.711585977976938e-07,0.0102574173361063,0.14667432010173798,0.00010802800534293056,0.0
155,0.6982678771018982,0.07499829679727554,1.2461351156234741,0.0001745596237014979,2.743598201959685e-07,0.010348176583647728,0.14855845272541046,0.0001082639500964433,0.0
156,0.69820636510849,0.07499212771654129,1.2460194826126099,0.00017681437020655721,2.777004226572899e-07,0.01044117659330368,0.15049836039543152,0.00010857124289032072,0.0
157,0.6981879472732544,0.07498732209205627,1.2459872961044312,0.00017914948693942279,2.8117457873122476e-07,0.010536666959524155,0.15249264240264893,0.00010893398575717583,0.0
158,0.6981475353240967,0.07497983425855637,1.2459163665771484,0.00018156346050091088,2.8478027047640353e-07,0.010633706115186214,0.15454088151454926,0.0001093490282073617,0.0
159,0.6981033682823181,0.07497414946556091,1.2458341121673584,0.00018405404989607632,2.885136325403437e-07,0.010731949470937252,0.15664179623126984,0.00010981243394780904,0.0
160,0.6981145739555359,0.07496721297502518,1.2458651065826416,0.00018662020738702267,2.923731869941548e-07,0.0108314398676157,0.15879464149475098,0.00011031296162400395,0.0
161,0.6980563402175903,0.07496226578950882,1.2457530498504639,0.00018926194752566516,2.963580243431352e-07,0.01093206461519003,0.1609993427991867,0.00011085339792771265,0.0
162,0.6980197429656982,0.07495614141225815,1.2456865310668945,0.0001919787609949708,3.0046908250369597e-07,0.011033670976758003,0.16325576603412628,0.000111430483229924,0.0
163,0.6979864239692688,0.07494941353797913,1.245627522468567,0.00019476964371278882,3.0470260981019237e-07,0.0111362524330616,0.16556330025196075,0.00011203042231500149,0.0
